Unnamed: 0,Tweet,len,metrics,source
10,f i g h t   c l u b   f a v o r i t   m o v i   d e s p i t   c r i n g   o p i n i o n   w a y y y y y   l e s s   f a v o r   d e p i c t   m e n t a l   i l l   j o k e r   w i t h o u t   q u e s t i o n   j o k e r   f a i r   b i t   g o   r e g a r d   i m o   w a y,151,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
11,i   t h i n k   s h a w n   o b s e s s   j o k e r   m o v i,34,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
12,i   f e e l   b i g g e s t   m i s s   o p p o r t u n   j o k e r   t h e   m o v i   t a l k   l o t   m e n t a l   i l l   p s y c h o l o g   n e v e r   g o e   t r e a t   p e o p l   w o u l d   w a n t   t r e a t,128,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
13,j o k e r   m o v i   s t i l l   a n g e r   p e o p l   2 0 2 0,38,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
14,i f   a n y t h   o n e   r e a l i s t   p o r t r a y   m e n t a l   i l l   t r e a t   s y s t e m   r u n   d i s t r i c t   j o k e r   g r e a t   m o v i   w a r n e r   b r o   s t u p i d   l e a r n   h e n c   g e t   s l o p p i   m u l t i   m i l l i o n   b l o c k b u s t,168,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web App
15,c r i   m r   f i n c h e r   i t   c h a n g   f a c t   j o k e r   o n e   b e s t   c o m i c   b o o k   m o v i   t i m e,66,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
16,i t   l i k e   s c e n e   1 9 8 9   b a t m a n   m o v i   p e o p l   c e l e b r   j o k e r   s t r e e t   g a s s   d e a t h,77,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
17,o v e r   y e a r   l a t e r   p e o p l   s t i l l   t a l k   j o k e r   u n l i k   m o v i   o s c a r   y e a r,66,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for iPhone
18,w e l l   t h i n g   j o k e r   m o v i   w o u l d   o u t s i d   d c e u   u n i v e r s   b a t m a n   s u p e r   v i l l a i n   e x i s t   s o   t o d d   p h i l l i p   m a d e   m o v i   t r i   s a y   r e a l i s t   l o l   h e   a l w a y   s a i d,146,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
19,i   w o u l d   c o n s i d   j o k e r   r e a l i s t   m o v i   i t   t a k e   p l a c e   u n i v e r s   d u d e   d r e s s   b a t   e m e r g   f i g h t   c r i m e,98,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
20,i m a g i n   u s e   a l i e n 3   d a v i d   f i n c h e r   l i k e   j o k e r   l o l   t h e   d u d e   m a d e   m o v i   s c r i p t   r e w r i t   n a r u t o   f i l l e r   e p i s o d   f r o n t   s t u d i o   k n o w   a s s   h o l e   w a n t   h u s h   h t t p   c o   d x c y q y j x i y,169,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
21,w e l l   f i c t i o n   s u p p o s   r e a l i s t   m o v i   y o u r   c o m p a r i s o n   m a k e   a b s o l u t   s e n s   m o v i   i n s p i r   j o k e r   t a x i   d r i v e r   k i n g   c o m e d i   a l s o   f i c t i o n   f i c t i o n   p o r t r a i t   s o m e t h   r e a l i s t,175,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter for iPhone
22,i   r e a l l i   c o n f u s   h o w   w a n t   j o k e r   p o r t r a y   m o v i   m a n   l i t e r   p h y c o,69,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
23,p h i l i p   s e e m   t h i n k   j o k e r   m o v i   t a x i   d r i v e r   r e a l l i   s c a r f a c,59,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
24,t h e   l e g o   b a t m a n   f i l m   r e v i e w   c h r i   m c k a y   d i r e c t   w i l l   a r n e t t   a m p   r a l p h   f i e n n   t a k e   o n   z a c h   g a l i f i a n a k i   j o k e r   i n   l e g o   g o t h a m   c i t i   t o n i g h t   6   5 5 p m   i t v 2   h t t p   c o   9 y u n r j y z c 8   h t t p   c o   f w 7 g e a 5 b 4 h,190,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
25,j o k e r   g o o d   m o v i,16,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
26,s h e   m a k e   s e n s   s a y   j o k e r   p o o r   p o r t r a y   m e n t a l   i l l   p e r s o n   s a y   p r e s e n c   m e n t a l   i l l   p e r s o n   r u i n   m o v i   w h a t e v,122,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 5, 'quote_count': 0}",Twitter for iPhone
27,r l l i   g o o d   t i t l   l m a o   t i t l   m o v i   a l s o   g o o d   n a m e   e v e n   m o v i   t i e   d c   u n i v e r s   a l r e a d i   g i v e   e n o u g h   r e a s o n   c a l l   j o k e r   t i t l   w o u l d   g o o d   e v e n,137,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
28,p r e t t i   s u r e   g e t   h a t e   i d c   a n y m o r   k n o w   l o t   t e e n   b o y   u s e   j o k e r   w e i r d   t h i n g   e v e r y t h   a b t   m o v i   m o t i v   m e a n   l o v e   h t t p   c o   6 r j 6 x 2 e j n 2,135,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
29,o n e   m o v i   l a w d   k e   c r i t i c   h t t p   c o   q p 3 f r j o x w r,46,"{'retweet_count': 1, 'reply_count': 3, 'like_count': 5, 'quote_count': 1}",Twitter for Android
30,y o u   s e e m   a n g r i   o n c   b i d e n   g e t   y o u   s t i l l   o l d   p i s s   s o u l   a l w a y   w h o   w h o m   w h a t   b l a m e   j a n u a r i   l o o k   m i r r o r   y o u   r e m i n d   j o k e r   m o v i   m o t h e r   c a l l   h a p p i   s o u n d   f a m i l i a r,161,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
31,c w   j o k e r   m e n t a l   i l l   h a t e   m o v i   s h o w   m e n t a l   i l l   s p e c i a l   o n e   j o k e r   w a y i   w e l l   y e   m i g h t   b i t   e x a g g e r   r e m e m b   m o v i   j o k e r   p e r s p e c t   v i e w e r   m i n d   v i e w   h t t p   c o   g 1 f h u c r f z r,184,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 1}",Twitter for Android
32,i d k   i   m e n t a l   i l l   i   t h o u g h t   p r e t t i   c o o l   i   g e t   l o t   p e o p l   l i k e   j o k e r   i   r e a l l i   s e e   v a l i d   c r i t i c   s i n c   s i g n i f i c   p a r t   m o v i   w e s t e r n   s o c i e t i   s t i g m a t   m e n t a l   i l l   r e f u s   p e o p l   h e l p   h t t p   c o   2 i 2 g q 6 c i w x,207,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web App
33,i s   j o k e r   t h o u g h   m o v i   c a l l   a r t h u r   a m p   n o t h   w o u l d   r e a l l i   c h a n g,68,"{'retweet_count': 0, 'reply_count': 5, 'like_count': 15, 'quote_count': 0}",Twitter for Android
34,j o k e r   b e t r a y   j o k e r   f a n   m o v i   a s s,35,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
35,i d k   i   m e n t a l   i l l   i   t h o u g h t   p r e t t i   c o o l   i   g e t   l o t   p e o p l   l i k e   j o k e r   i   r e a l l i   s e e   v a l i d   c r i t i c   s i n c   s i g n i f i c   p a r t   m o v i   w e s t e r n   s o c i e t i   s t i g m a t   m e n t a l   i l l   r e f u s   p e o p l   h e l p   h t t p   c o   k w n m k z c k n e,207,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 11, 'quote_count': 1}",Twitter for iPhone
36,l i k e   m o v i   t r i   s o u n d   p r o f e s s i o n   l i k e   j o k e r   m u c h   e i t h e r   b e t r a y   m e n t a l   i l l   r e a l l i   s t u p i d,94,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
37,f i g h t   c l u b   l o t   c a p i t   m e n t a l   h e a l t h   g o n e   g i r l   p r e t t i   s q u a r   d e e p l i   c y n i c   s a t i r   t o x i c   r e l a t i o n s h i p   j o k e r   m a i n   s t o r i   r e v o l v   a r o u n d   m e n t a l   h e a l t h   a n d   i   s a y   s o m e o n   e v e n   h a t e   m o v i,188,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 38, 'quote_count': 0}",Twitter Web App
38,j o k e r   w o r s t   m o v i   i   e v e r   w a t c h,32,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
39,h e l l o   s o   e x a m p l   i   t r i   j o k e r   m o v i   p a c i f   b a n d   b r o t h e r   s e r i   c o n t i n u   b u f f e r   l o a d   i   i n t e r n e t   i s s u   i   t r i   u n i n s t a l   a p p   r e i n s t a l   o t h e r   t h i n g   l e g o   m o v i   e t c   l o a d,172,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",Twitter Web App
40,f a v o r i t   m o v i   t i m e   b e s t   j o k e r   p e r f o r m   t i m e,47,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
41,i   l i k e   m o v i   p h e o n i x   a c t   t h o   d i d n   t h i n k   p o r t r a y   j o k e r   h e r o   b u t   u n s e t t l   m a n i   p e o p l   s a w   w a y,99,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
42,t h e   m o v i   j o k e r   g o o d   b e l i e v   i   s t a y   w a t c h,47,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPad
43,i t   g r e a t   m o v i   n o n e t h e l e s s   i   n e v e r   f o r g i v   f o r g e t   l i b e r   b l u e   c h e c k   d r a f t h o u s   d e v i n   f a r a c i   w i n g   f i l m   t w i t t e r   c a l l   c o p   u s   s e e   j o k e r,140,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
44,o n e   r a n d o m   t h i n g   j o k e r   i   w a n t   s a y   r e a l   j o k e r   w o u l d   t r i   l i k e   o n e   m o v i   r e a l   j o k e r   w o u l d   s e v e r   b u l l i   p e r s o n   e p i s o d   p i l l a r   f a l l,131,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
45,i f   s e e n   k i n g   c o m e d i   g o   s e e   t h e   r e c e n t   j o k e r   m o v i   j o a q u i n   p h o e n i x   e v e n   i n s p i r   a n o t h   s c o r s e s   c l a s s i c   t a x i   d r i v e r   k i n g   c o m e d i   r e l e v   t o d a y,143,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
46,o h   n a h   m o v i   j o k e r   l i v e   c o m i c   b o o k   c a n n o n   k i l l   j o k e r   s u p e r m a n   b a b i   w h i c h   e n d   b a t m a n   l i f e   p r i s o n   b e c u a s   m o v i   s e e   c o p   b e g i n   h u n t   b a t m a n   v s   h e l p i n,152,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
47,t o d d   p h i l l i p   h a c k   s t r a i g h t   s t o l e   s c o r s e s   m a k e   o r i g i n   j o k e r   m o v i   u s e   7 0   y e a r   j o k e r   s o u r c   m a t e r i   s h i t t i   m o v i,118,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
48,e v e r i   t i m e   i   t r i   w a t c h   t h e   j o k e r   i   f e l t   u n c o m f o r t   h o n e s t i   d i s g u s t   s o m e o n   c h o s e   f i l m   m o v i   l i k e   i   n e v e r   e v e r   s a i d   m o v i,127,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 13, 'quote_count': 0}",Twitter for iPhone
49,w a t c h i n   j o k e r   s e c o n d   t i m e   s o l i d i f i   h a t e   n e v e r   g e t   f o l k   m a k e   m o v i   w i t h o u t   b a t m a n   p a r e n t   g e t t i n   c l a p,106,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 1}",Twitter for iPhone
50,i   h o n e s t l i   t h i n k   i   c o u l d   j u s t i c   i n   i   w a t c h   i n s a n   m o v i   l i k e   m a s h u p   j o k e r   j i m   c a r r e y   a n d i   k a u f m a n   b i o p i c   k i n d   g e n e r   s u p e r h e r o   f l i c k,137,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
51,j o k e r   m e s s i e s t   m o v i   i   e v e r   s e e n   p o i n t   a c t u a l   t h e m e   a l m o s t   i n c o m p r e h e n s   t h i n g   e v e n   r e m o t   g r o u n d   m o v i   p h o e n i x   p e r f o r m,130,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
52,z s j l   r e a l l i   b r o u g h t   b a t f l e c k   l e t o   j o k e r   b a c k   n o t   m e n t i o n   n e w   d o o r   m o v i   m i g h t   o p e n   z a c k   s n y d e r   t r u l i   l e g e n d,108,"{'retweet_count': 3, 'reply_count': 2, 'like_count': 63, 'quote_count': 0}",Twitter for Android
53,i   l i k e   m o v i   j o k e r   i   h e l p   q u e s t i o n   i   w a t c h   s o m e t i m   t r i g g e r   e   b a d,71,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter Web App
54,c o n t r o v e r s i   o p i n i o n   i   a c t u a l   r e a l l i   l i k e   j a r e   l e t o   d e s i g n   a l s o   l i k e   s u i c i d   s q u a d   m o v i,95,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
55,s t r a i g h t   g u y   r e a l l i   r e l a t   j o k e r   m e a n w h i l   t h i n g   i   e v e r   r e l a t   s u p e r h e r o   m o v i   h a r l e y   q u i n n   d e e p   u n d i   l o v e   b o d e g a   b r e a k f a s t   s a n d w i c h   h t t p   c o   v r z t b c x 4 6 f,161,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for iPhone
56,j u s t i c   l e a g u   a d d i t   p h o t o g r a p h i   t h o u g h t   s o   k n o w   a p   a d   f o u r   m i n u t   m o v i   a c c o r d   z a c k   i   t h i n k   g e n e r   a g r e   k n i g h t m a r   s c e n e   b a s e   d e s c r i b   j o k e r   w o r l d   w e a r i,172,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",Twitter Web App
57,c b m   c h a r a c t   a l w a y   g e t   s l i g h t l i   n e w   d e s i g n   m o v i   m a k e   s e n s   j o k e r   w o u l d   g e t   o n e,84,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
58,t h e   s c e n e   j o k e r   p a r t   w o r l d   l o v e   f e l t   n e e d   a d d   p a r t   m o v i,56,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter Web App
59,j o k e r   h a r l e y   s h o w   t w o   p a r t e r   b a t m a n   b e y o n d   m o v i   o t h e r w i s   j u s t i c   l e a g u   a l l o w   e v e n   r o b i n   n i g h t w   i   t h i n k   g o t   a w a y   a l f r   t i m e,134,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
60,a h   o r i g i n   j o k e r   m o v i   b r o k e   h e a r t   f i r s t   s a w   h a l f   c e n t u r i   a g o   j a n a y   k a h a n   g a y   w o h   d i n,87,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
61,m a t t   l i t e r   w r o t e   p i t c h   d a r k   j o k e r   h e l l b l a z   m o v i   e x p r e s s   s e v e r   t i m e   k   a n u   m i g h t   b i g   n a m e   h o n e s t i   m e d i o c r   a c t o r   m a t t   n a m e   w e l l   k n o w n   t a l e n t   k i c k   p a r k,161,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",Twitter for Android
62,i t   m e a n   l e f t i   w o u l d   l i k e   s h o w   b o l s o n a r o   c l o w n   b o l s o n a r o   p e o p l   a s s u m   l i k e   n e w   j o k e r   e n e m i   c o r r u p t   l e f t i   b a d   p o l i t   w e   w i s h   b o l s o n a r o   s h o t   h e a d   m i s e r   p e o p l   j o k e r   m o v i,180,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
63,j o k e r   u l t i m   s j w   m o v i,24,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
64,i   u s e   a v i   j o k e r   m o v i   c a m e   b c   e v e r y o n   j o k e r   2,47,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",Twitter Web App
65,i m a g i n   g u y   l o v e   j o k e r   m o v i   g r o u n d h o g   d a y   g u y   w o u l d   w o n d e r   p h i l   e v e r   s t o p   h e d o n i s t   n i h i l,98,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter for Android
66,d i r e c t o r   r i g h t   p e r f e c t   c o n t i n u   h u g e   s t o r i   m o v i   i   k n o w   f a n   l i k e   t a t t o o   g a n g s t e r   l o o k   i   t h o u g h t   f i n e   d i f f e r   u n i q u   t a k e   i   t h o u g h t   w o r k   w e l l   d c e u   s n y d e r   v e r s   w e   k n o w   l e t o   j o k e r,184,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
67,i   a c t u a l   g r a t e   m o v i   a n y o n   l i k e   j o k e r   i   i m m e d i   i d e n t i f i   k i n d   c o r r u p t   m o v i   b r a i n   i   d i s m i s s   m o v i   o p i n i o n   g r o u n d,124,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 7, 'quote_count': 0}",Twitter Web App
68,i   m e a n   l i n e   o p e r   d e a t h s t a r   w h o l e   t h a n o   c o m p a r i s o n   t r i   m a k e   r e m e m b   s a i d   s a w   j o k e r   l i k e   i   t h i n k   t r u m p   s e e n   e n d   m o v i,126,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
69,h e a t h   l e d g e r   g r e a t e s t   j o k e r   t i m e   a r a b   d u d e   t a k e   s c r e e n s h o t   m o v i   w r i t e   s h i t   l o y a l t i,85,"{'retweet_count': 12, 'reply_count': 5, 'like_count': 54, 'quote_count': 0}",Twitter for iPhone
70,w h e n   w a t c h   m o v i   j o k e r   h t t p   c o   1 i j s t r z o j 8,42,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 17, 'quote_count': 0}",Twitter for iPhone
71,i   r e a l l i   d a r k   t h e   f i l m   j o k e r   g r e a t l i   i n f l u e n c   m o v i,53,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
72,i m   w a t c h   i n d i a n   m o v i   i t   a k s h a y   k u m a r   a n d   c a l l   j o k e r,54,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",Twitter for Android
73,e v e r y b o d i   a w   d a y   i t   e n o u g h   m a k e   a n o t h   c r a z i   m o v i   j o k e r   2 0 1 9   i m d b   8   5   h t t p   c o   d f 4 8 d i e o 6 d,95,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
74,y u n g   l a s t   p a r t   n g   m o v i   n u n g   j   p h o e n i x   j o k e r   y u n g   m a r a m   n a k a m a s k a r a   n a   j o k e r   m a k e   t h i n k   n a   m a k e   s e n s   n a   j o k e r   t i m e   e h   s e n s   s y e m p r   a c c u r   u   t e l l   n a m a n   w h a t   r i g h t   t h o,174,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
75,m i s l e a d   h e a d l i n   c r i   s n y d e r v e r s   a l i v   w e l l   j l   m o v i   a r o u n d   7 5   n e w   f o o t a g   a l r e a d i   f i l m   2 0 1 7   n e v e r   s h o w n   a d d   j o k e r   t h e   b a t m a n   w o n d e r   w o m a n   a q u a m a n   s h a z a m   e t c   a m p   f u l l   d c   m e n u   i   d c   f a n   p a r a d i s   s i n c   2 0 1 8,208,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
76,i s   j o k e r   c h r i s t m a   m o v i,24,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
77,s o n i c   h e d g e h o g   b e t t e r   m o v i   t h e   j o k e r   h t t p   c o   k z h w o e g h u k,57,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
78,p r o b a b l   b e s t   j o k e r   i n c a r n   a w e s o m   m o v i,45,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
79,w h a t   k i n d   c r a z i   n i g h t   i   i   d r e a m   j o k e r   m o v i   i   w o k e   5   p r a y   w e n t   b a c k   s l e e p   i   d r e a m   a b o u t   h o p p i p o l l a   i   l i t e r   w a n n a   w a k e   e v e r,132,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
80,t h e   b a t m a n   s t a r   r o b e r t   p a t t i n s o n   t h r o w n   c h a o   s t u n t m a n   t e s t   p o s i t   c o v i d   1 9   t h e   s u n   h t t p   c o   c u 2 7 f z a c e a,110,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",IFTTT
81,m o v i   j o k e r   b a t m a n   c o m i c   w i r e l e s s   e a r p h o n   c a s e   f o r   a p p l   i p h o n   c h a r g   b o x   f o r   a i r p o d   p r o   h a r d   t r a n s p a r   p r o t e c t   c o v e r   h t t p   c o   s 6 0 k s s c h q k,147,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",SocialRabbit Plugin
82,m a d e   m o v i   a b t   j o k e r,20,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 8, 'quote_count': 0}",Twitter Web App
83,g a g a   e i z a   g   m e g a n   f   i v i   j a n e l   m o n a   g u g u   m b a t h a   r a w   c a t w o m a n   d a v i d   c a t h i   p r o d u c   i d k   c h o o s   d i r e c t o r   t h e   s t o r i   t h e   l a d i   v s   j o k e r   p u n c h l i n   s e x i   h a l l o w e e n   m o v i   w   p c d   l a n a   n i c k i   m   k d a   s o u n d t r a c k,199,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
84,a n s w e r   d i d   j o a q u i n   p h o e n i x   w o r k   t c   6   m o n t h   j o k e r   m o v i   k a r t h i k   s   h t t p   c o   s 1 t q w p 9 n h a,86,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
85,a p p a r   j a r e   l e t o   j o k e r   w i l l   b e c o m   r e a l l i   d i f f e r   i n s i d   z a c k   s n y d e r   j u s t i c   l e a g u   z a c k   s n y d e r   j u s t i c   l e a g u   e x p e c t   d r o p   h b o   m a x   i n s i d   e a r l i   m i d   2 0 2 1   a s   d c e u   h e a d   t h e a t e r   i n s i d   h t t p   c o   3 h f l z m o q u w,212,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",dlvr.it
86,j u s t   c a u s   w r o t e   g r e a t   s c r i p t   a r g o   m e a n   e v e r i   m o v i   b r i e   l a r s o n   o s c a r   a c t   y e t   p e r f o r m   c a p t a i n   m a r v e l   p u r e   s h i t   s a m e   l e t o   j o k e r   a w a r d   1   m o v i   m e a n   m a k e   b a d   m o v i,168,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
